W;B;E;RE_OA_a;RE_OA_b;Bewerkingstype;Count
1;0;0;0.003;1.93;0;78874
1;0;1;0.004;1.63;0;3021
1;0;2;0.009;1.03;0;58
1;1;0;0.003;1.98;0;46454
1;1;1;0.004;1.72;0;1219
1;1;2;0.003;1.98;5;0
1;2;0;0.004;1.8;0;64279
1;2;1;0.004;1.68;0;1979
1;2;2;0.005;1.58;0;53
1;3;0;0.003;1.76;0;58907
1;3;1;0.006;1.51;0;1410
1;3;2;0.003;1.76;5;0
1;4;0;0.002;1.99;0;85672
1;4;1;0.005;1.62;0;1787
1;4;2;0.003;1.98;0;52
1;5;0;0.002;2.13;0;29060
1;5;1;0.003;2.16;0;447
1;5;2;0.002;2.13;5;0
1;6;0;0.002;2.22;0;28171
1;6;1;0.003;2.19;0;400
1;6;2;0.002;2.22;5;0
1;7;0;0.003;2.38;0;28039
1;7;1;0.003;2.11;0;527
1;7;2;0;3;0;53
1;8;0;0.003;2.63;0;17482
1;8;1;0.004;2.05;0;389
1;8;2;0.003;2.63;5;0
1;9;0;0.004;2.59;0;7733
1;9;1;0.005;1.8;0;337
1;9;2;0.004;2.59;5;0
1;10;0;0.006;2.18;0;8996
1;10;1;0.006;1.82;0;406
1;10;2;0.006;2.18;5;0
2;0;0;0.004;1.83;0;50050
2;0;1;0.004;1.58;0;1987
2;0;2;0.006;1.39;0;255
2;1;0;0.004;1.95;0;39198
2;1;1;0.004;1.74;0;992
2;1;2;0.009;1.35;0;96
2;2;0;0.005;1.81;0;59048
2;2;1;0.005;1.52;0;1293
2;2;2;0.007;1.23;0;720
2;3;0;0.004;1.79;0;50707
2;3;1;0.007;1.28;0;761
2;3;2;0.013;0.51;0;155
2;4;0;0.003;2.09;0;62547
2;4;1;0.006;1.56;0;713
2;4;2;0.014;0.34;0;214
2;5;0;0.004;2.17;0;18923
2;5;1;0.008;1.44;0;137
2;5;2;0.004;2.17;5;0
2;6;0;0.004;2.19;0;15855
2;6;1;0.01;1.15;0;155
2;6;2;0.004;2.19;5;0
2;7;0;0.004;2.39;0;14687
2;7;1;0.009;1.07;0;207
2;7;2;0.004;2.39;5;0
2;8;0;0.005;2.47;0;10657
2;8;1;0.008;1.31;0;120
2;8;2;0.002;2.42;0;70
2;9;0;0.007;2.3;0;4324
2;9;1;0.002;2.22;0;136
2;9;2;0.007;2.3;5;0
2;10;0;0.009;1.7;0;3913
2;10;1;0.013;0.89;0;183
2;10;2;0.009;1.7;5;0
3;0;0;0.004;1.82;0;30499
3;0;1;0.006;1.43;0;1883
3;0;2;0.011;1.05;0;480
3;1;0;0.004;2.01;0;24509
3;1;1;0.006;1.64;0;786
3;1;2;0.015;0.55;0;127
3;2;0;0.005;1.87;0;49771
3;2;1;0.007;1.37;0;1131
3;2;2;0.009;1.18;0;1542
3;3;0;0.003;2.05;0;74337
3;3;1;0.011;0.87;0;1175
3;3;2;0.009;1.18;0;1139
3;4;0;0.002;2.27;0;116830
3;4;1;0.01;1.02;0;1394
3;4;2;0.016;0.42;0;1651
3;5;0;0.003;2.3;0;18396
3;5;1;0.001;2.31;0;148
3;5;2;0.01;1.05;0;257
3;6;0;0.005;2.2;0;16778
3;6;1;0.011;1.22;0;144
3;6;2;0.02;0.2;0;144
3;7;0;0.004;2.45;0;14814
3;7;1;0.011;1.18;0;218
3;7;2;0.009;1.43;0;155
3;8;0;0.005;2.37;0;10175
3;8;1;0.004;2.01;0;149
3;8;2;0.019;0.51;0;237
3;9;0;0.009;1.87;0;4859
3;9;1;0.001;2.63;0;169
3;9;2;0.007;1.97;0;251
3;10;0;0.011;1.29;0;2699
3;10;1;0.013;1;0;166
3;10;2;0.015;0.97;0;54
4;0;0;0.005;1.76;0;82056
4;0;1;0.008;1.27;0;7414
4;0;2;0.016;0.64;0;1663
4;1;0;0.004;2.04;0;56114
4;1;1;0.006;1.59;0;2246
4;1;2;0.013;0.83;0;245
4;2;0;0.005;1.9;0;90627
4;2;1;0.007;1.5;0;2429
4;2;2;0.01;1.31;0;3162
4;3;0;0.002;2.25;0;158329
4;3;1;0.012;0.84;0;2535
4;3;2;0.013;0.76;0;2494
4;4;0;0.002;2.33;0;264791
4;4;1;0.007;1.45;0;3104
4;4;2;0.015;0.55;0;3915
4;5;0;0.003;2.37;0;46281
4;5;1;0.006;1.85;0;335
4;5;2;0.02;0.22;0;581
4;6;0;0.005;2.23;0;47729
4;6;1;0.008;1.65;0;395
4;6;2;0.023;-0.19;0;464
4;7;0;0.004;2.49;0;40631
4;7;1;0.01;1.29;0;498
4;7;2;0.017;0.54;0;444
4;8;0;0.006;2.26;0;25308
4;8;1;0.005;2.05;0;334
