W;B;E;S;Bewerkingstype;RE_FO_a_WBE [m3 aardgas];RE_FO_b_WBSE [m3 aardgas];FVrvKC_mean_SJV [m3 aardgas];FVrvKC sd_SJV [m3 aardgas];OP_mean [m2];Se (stdv residuals);Sse;t a/2;Count
1;0;0;A;3;4.73;994.76;1849.77;671.79;180.63;709.71;364101.56;1.99;0
1;0;0;B;3;4.73;994.76;1849.77;671.79;180.63;709.71;364101.56;1.99;0
1;0;0;C;0;4.73;994.76;1849.77;671.79;180.63;709.71;364101.56;1.99;84
1;0;0;D;0;4.73;937.97;1737.79;710.49;168.97;706.72;997325.77;1.97;273
1;0;0;E;0;4.73;1121.26;1950.76;794.4;175.24;709.37;478414.68;1.99;91
1;0;0;F;0;4.73;1037.95;1834.26;713.54;168.23;707.22;877599.31;1.97;198
1;0;0;G;0;4.73;961.34;1701.79;700.21;156.43;706.54;1227457.65;1.97;317
1;0;1;A;3;4.97;997.65;1730.7;686.17;147.38;733.38;264335.53;2;0
1;0;1;B;3;4.97;997.65;1730.7;686.17;147.38;733.38;264335.53;2;0
1;0;1;C;3;4.97;997.65;1730.7;686.17;147.38;733.38;264335.53;2;0
1;0;1;D;3;4.97;997.65;1730.7;686.17;147.38;733.38;264335.53;2;0
1;0;1;E;3;4.97;997.65;1730.7;686.17;147.38;733.38;264335.53;2;0
1;0;1;F;0;4.97;997.65;1730.7;686.17;147.38;733.38;264335.53;2;66
1;0;1;G;0;4.97;1060.6;1839.94;763.28;156.69;730.28;592606.94;1.98;144
1;0;2;A;3;0.73;1387.87;1472.22;563.9;115.72;617.27;119457.77;2;0
1;0;2;B;3;0.73;1387.87;1472.22;563.9;115.72;617.27;119457.77;2;0
1;0;2;C;3;0.73;1387.87;1472.22;563.9;115.72;617.27;119457.77;2;0
1;0;2;D;3;0.73;1387.87;1472.22;563.9;115.72;617.27;119457.77;2;0
1;0;2;E;3;0.73;1387.87;1472.22;563.9;115.72;617.27;119457.77;2;0
1;0;2;F;3;0.73;1387.87;1472.22;563.9;115.72;617.27;119457.77;2;0
1;0;2;G;0;0.73;1387.87;1472.22;563.9;115.72;617.27;119457.77;2;69
1;1;0;A;3;4.72;1128.81;1952.05;755.81;174.55;740.69;170957.13;2.01;0
1;1;0;B;3;4.72;1128.81;1952.05;755.81;174.55;740.69;170957.13;2.01;0
1;1;0;C;0;4.72;1128.81;1952.05;755.81;174.55;740.69;170957.13;2.01;53
1;1;0;D;0;4.72;1040.11;1797.57;716.72;160.6;736.51;404908;1.98;125
1;1;0;E;0;4.72;1300.8;2124.45;748.7;174.63;740.83;126220.06;2.01;52
1;1;0;F;0;4.72;1110.48;1915.25;716.47;170.63;736.46;538149.61;1.98;127
1;1;0;G;0;4.72;1017.76;1769.21;713.86;159.32;735.47;686951.87;1.97;191
1;1;1;A;3;4.02;1362.72;1934.57;716.38;142.4;764.24;93698.52;2.01;0
1;1;1;B;3;4.02;1362.72;1934.57;716.38;142.4;764.24;93698.52;2.01;0
1;1;1;C;3;4.02;1362.72;1934.57;716.38;142.4;764.24;93698.52;2.01;0
1;1;1;D;3;4.02;1362.72;1934.57;716.38;142.4;764.24;93698.52;2.01;0
1;1;1;E;3;4.02;1362.72;1934.57;716.38;142.4;764.24;93698.52;2.01;0
1;1;1;F;3;4.02;1362.72;1934.57;716.38;142.4;764.24;93698.52;2.01;0
1;1;1;G;0;4.02;1362.72;1934.57;716.38;142.4;764.24;93698.52;2.01;52
1;1;2;A;3;4.4;1217.13;1615.33;623.49;90.42;722.21;43990.69;2.01;0
1;1;2;B;3;4.4;1217.13;1615.33;623.49;90.42;722.21;43990.69;2.01;0
1;1;2;C;3;4.4;1217.13;1615.33;623.49;90.42;722.21;43990.69;2.01;0
1;1;2;D;0;4.4;1217.13;1615.33;623.49;90.42;722.21;43990.69;2.01;52
1;1;2;E;4;4.4;1237.89;1637.22;651.21;90.68;721.25;57512.34;2;0
1;1;2;F;4;4.4;1258.64;1659.11;678.93;90.94;720.29;71033.99;1.99;0
1;1;2;G;0;4.4;1279.4;1681.01;706.66;91.2;719.34;84555.64;1.99;86
1;2;0;A;3;5.89;721.42;1669.67;686.7;161.08;694.66;369934.09;1.98;0
1;2;0;B;3;5.89;721.42;1669.67;686.7;161.08;694.66;369934.09;1.98;0
1;2;0;C;0;5.89;721.42;1669.67;686.7;161.08;694.66;369934.09;1.98;133
1;2;0;D;0;5.89;955.25;1945.86;671.24;168.28;694.97;334023.85;1.98;119
1;2;0;E;0;5.89;926.53;1892.47;708.46;164.09;693.89;622154.63;1.97;187
1;2;0;F;0;5.89;863.3;1764.46;743.38;153.08;693.32;782596.19;1.97;268
1;2;0;G;0;5.89;881.81;1731.94;687.08;144.41;694.62;346716.77;1.98;135
1;2;1;A;3;6.53;751.81;1649.9;705.61;137.61;705.5;103422.16;2.01;0
1;2;1;B;3;6.53;751.81;1649.9;705.61;137.61;705.5;103422.16;2.01;0
1;2;1;C;3;6.53;751.81;1649.9;705.61;137.61;705.5;103422.16;2.01;0
1;2;1;D;3;6.53;751.81;1649.9;705.61;137.61;705.5;103422.16;2.01;0
1;2;1;E;0;6.53;751.81;1649.9;705.61;137.61;705.5;103422.16;2.01;51
1;2;1;F;0;6.53;848.45;1760.34;715.49;139.72;702.7;198628.63;1.99;83
1;2;1;G;2;6.53;848.45;1760.34;715.49;139.72;702.7;198628.63;1.99;0
1;2;2;A;3;2.6;1024.53;1286.72;435.33;100.78;601.9;32508.05;1.99;0
1;2;2;B;3;2.6;1024.53;1286.72;435.33;100.78;601.9;32508.05;1.99;0
1;2;2;C;0;2.6;1024.53;1286.72;435.33;100.78;601.9;32508.05;1.99;82
1;2;2;D;0;2.6;973.03;1235.36;506.79;100.83;601.01;49308.97;1.98;107
1;2;2;E;0;2.6;1090.62;1362.72;530.55;104.59;600.68;70941.34;1.98;121
1;2;2;F;0;2.6;1210.69;1484.33;528.04;105.18;600.66;80952.03;1.98;122
1;2;2;G;0;2.6;1315.74;1575.3;697.65;99.77;602.09;50519.85;1.99;78
1;3;0;A;3;5.67;810.55;1839.68;740.8;181.62;733.39;709774.21;1.97;0
1;3;0;B;3;5.67;810.55;1839.68;740.8;181.62;733.39;709774.21;1.97;0
1;3;0;C;0;5.67;810.55;1839.68;740.8;181.62;733.39;709774.21;1.97;238
1;3;0;D;0;5.67;899.58;1892.56;743.51;175.24;733.05;977333.58;1.97;306
1;3;0;E;0;5.67;956.21;1919.74;731.41;170.04;734.31;363975.76;1.98;150
1;3;0;F;0;5.67;926.93;1872.88;750.01;166.94;737.72;198453.75;2;64
1;3;0;G;2;5.67;926.93;1872.88;750.01;166.94;737.72;198453.75;2;0
1;3;1;A;5;5.67;810.55;1839.68;740.8;181.62;733.39;709774.21;1.97;0
1;3;1;B;5;5.67;810.55;1839.68;740.8;181.62;733.39;709774.21;1.97;0
1;3;1;C;5;5.67;810.55;1839.68;740.8;181.62;733.39;709774.21;1.97;0
1;3;1;D;5;5.67;899.58;1892.56;743.51;175.24;733.05;977333.58;1.97;0
1;3;1;E;5;5.67;956.21;1919.74;731.41;170.04;734.31;363975.76;1.98;0
1;3;1;F;5;5.67;926.93;1872.88;750.01;166.94;737.72;198453.75;2;0
1;3;1;G;5;5.67;926.93;1872.88;750.01;166.94;737.72;198453.75;2;0
1;3;2;A;5;5.67;810.55;1839.68;740.8;181.62;733.39;709774.21;1.97;0
1;3;2;B;5;5.67;810.55;1839.68;740.8;181.62;733.39;709774.21;1.97;0
1;3;2;C;5;5.67;810.55;1839.68;740.8;181.62;733.39;709774.21;1.97;0
1;3;2;D;5;5.67;899.58;1892.56;743.51;175.24;733.05;977333.58;1.97;0
1;3;2;E;5;5.67;956.21;1919.74;731.41;170.04;734.31;363975.76;1.98;0
1;3;2;F;5;5.67;926.93;1872.88;750.01;166.94;737.72;198453.75;2;0
1;3;2;G;5;5.67;926.93;1872.88;750.01;166.94;737.72;198453.75;2;0
1;4;0;A;3;5.19;751.21;1752.64;689.67;192.92;684.51;487699;1.98;0
1;4;0;B;0;5.19;751.21;1752.64;689.67;192.92;684.51;487699;1.98;144
1;4;0;C;0;5.19;896.76;1855.86;682;184.76;682.75;1581879.55;1.96;538
1;4;0;D;0;5.19;1000.7;1961.78;718.38;185.14;686.31;252734.27;1.99;83
1;4;0;E;2;5.19;1000.7;1961.78;718.38;185.14;686.31;252734.27;1.99;0
1;4;0;F;2;5.19;1000.7;1961.78;718.38;185.14;686.31;252734.27;1.99;0
1;4;0;G;2;5.19;1000.7;1961.78;718.38;185.14;686.31;252734.27;1.99;0
1;4;1;A;3;6.4;626.25;1651.81;723.85;160.2;668.07;364380;1.98;0
1;4;1;B;3;6.4;626.25;1651.81;723.85;160.2;668.07;364380;1.98;0
1;4;1;C;0;6.4;626.25;1651.81;723.85;160.2;668.07;364380;1.98;100
1;4;1;D;2;6.4;626.25;1651.81;723.85;160.2;668.07;364380;1.98;0
1;4;1;E;2;6.4;626.25;1651.81;723.85;160.2;668.07;364380;1.98;0
1;4;1;F;2;6.4;626.25;1651.81;723.85;160.2;668.07;364380;1.98;0
1;4;1;G;2;6.4;626.25;1651.81;723.85;160.2;668.07;364380;1.98;0
1;4;2;A;3;4.73;322.71;620.42;429.44;62.98;480.44;94980.98;2;0
1;4;2;B;0;4.73;322.71;620.42;429.44;62.98;480.44;94980.98;2;60
1;4;2;C;0;4.73;709.09;1244.88;413.51;113.35;478.93;168723.41;1.99;94
1;4;2;D;2;4.73;709.09;1244.88;413.51;113.35;478.93;168723.41;1.99;0
1;4;2;E;2;4.73;709.09;1244.88;413.51;113.35;478.93;168723.41;1.99;0
