Oppervlakteklasse TNO code;Gezinsgrootte;Oppervlakteklasse TNO;gasverbruik warm water (m3)
1;1;<75;140.1269923
2;1;75-100;136.128741
3;1;100-125;131.2236616
4;1;125-150;131.2264487
5;1;>150;127.6970364
1;2;<75;224.6900097
2;2;75-100;222.0871836
3;2;100-125;204.33395
4;2;125-150;202.8881695
5;2;>150;196.0976459
1;3;<75;297.7542463
2;3;75-100;282.270903
3;3;100-125;275.4183407
4;3;125-150;262.7508257
5;3;>150;257.770231
1;4;<75;297.3259809
2;4;75-100;282.0727585
3;4;100-125;286.6461996
4;4;125-150;282.2667154
5;4;>150;270.9992152
1;5;<75;288.9135272
2;5;75-100;306.9872406
3;5;100-125;320.2765307
4;5;125-150;310.5937137
5;5;>150;315.4697219
